date,zone_id,zone_name,mobility_risk_score
2020-02-24,15,Bashundhara R/A (NSU),61.54
2020-02-25,1,Uttara,36.14
2020-02-25,2,Mirpur,46.46
2020-02-25,3,Gulshan & Banani,45.42
2020-02-25,4,Agargaon & Kafrul,28.84
2020-02-25,5,Farmgate & Karwan Bazar,59.58
2020-02-25,6,Diabari & Ashkona,22.82
2020-02-25,7,Uttarkhan & Faidabad,13.98
2020-02-25,8,Dakshinkhan & Dumni,18.16
2020-02-25,9,Vatara & Kuril,32.07
2020-02-25,10,Badda & Aftabnagar,32.5
2020-02-25,11,Ramna & Motijheel,52.53
2020-02-25,12,Khilgaon & Mugda,46.45
2020-02-25,13,Dhanmondi & Azimpur,47.25
2020-02-25,14,Wari & Jatrabari,49.42
2020-02-25,15,Bashundhara R/A (NSU),63.99
2020-02-26,1,Uttara,35.97
2020-02-26,2,Mirpur,41.06
2020-02-26,3,Gulshan & Banani,41.49
2020-02-26,4,Agargaon & Kafrul,35.16
2020-02-26,5,Farmgate & Karwan Bazar,44.32
2020-02-26,6,Diabari & Ashkona,23.68
2020-02-26,7,Uttarkhan & Faidabad,12.86
2020-02-26,8,Dakshinkhan & Dumni,17.42
2020-02-26,9,Vatara & Kuril,35.38
2020-02-26,10,Badda & Aftabnagar,37.54
2020-02-26,11,Ramna & Motijheel,55.74
2020-02-26,12,Khilgaon & Mugda,40.19
2020-02-26,13,Dhanmondi & Azimpur,38.56
2020-02-26,14,Wari & Jatrabari,49.95
2020-02-26,15,Bashundhara R/A (NSU),56.47
2020-02-27,1,Uttara,37.25
2020-02-27,2,Mirpur,51.57
2020-02-27,3,Gulshan & Banani,38.96
2020-02-27,4,Agargaon & Kafrul,33.87
2020-02-27,5,Farmgate & Karwan Bazar,53.63
2020-02-27,6,Diabari & Ashkona,17.47
2020-02-27,7,Uttarkhan & Faidabad,11.24
2020-02-27,8,Dakshinkhan & Dumni,19.03
2020-02-27,9,Vatara & Kuril,33.04
2020-02-27,10,Badda & Aftabnagar,36.54
2020-02-27,11,Ramna & Motijheel,47.29
2020-02-27,12,Khilgaon & Mugda,40.05
2020-02-27,13,Dhanmondi & Azimpur,46.4
2020-02-27,14,Wari & Jatrabari,40.57
2020-02-27,15,Bashundhara R/A (NSU),57.0
2020-02-28,1,Uttara,29.14
2020-02-28,2,Mirpur,48.05
2020-02-28,3,Gulshan & Banani,39.88
2020-02-28,4,Agargaon & Kafrul,35.48
2020-02-28,5,Farmgate & Karwan Bazar,45.56
2020-02-28,6,Diabari & Ashkona,20.48
2020-02-28,7,Uttarkhan & Faidabad,15.24
2020-02-28,8,Dakshinkhan & Dumni,15.76
2020-02-28,9,Vatara & Kuril,31.13
2020-02-28,10,Badda & Aftabnagar,31.38
2020-02-28,11,Ramna & Motijheel,54.22
2020-02-28,12,Khilgaon & Mugda,34.7
2020-02-28,13,Dhanmondi & Azimpur,45.83
2020-02-28,14,Wari & Jatrabari,50.48
2020-02-28,15,Bashundhara R/A (NSU),62.78
2020-02-29,1,Uttara,29.54
2020-02-29,2,Mirpur,42.8
2020-02-29,3,Gulshan & Banani,40.66
2020-02-29,4,Agargaon & Kafrul,27.99
2020-02-29,5,Farmgate & Karwan Bazar,41.48
2020-02-29,6,Diabari & Ashkona,20.74
2020-02-29,7,Uttarkhan & Faidabad,15.67
2020-02-29,8,Dakshinkhan & Dumni,14.64
2020-02-29,9,Vatara & Kuril,34.34
2020-02-29,10,Badda & Aftabnagar,29.18
2020-02-29,11,Ramna & Motijheel,49.49
2020-02-29,12,Khilgaon & Mugda,30.74
2020-02-29,13,Dhanmondi & Azimpur,35.22
2020-02-29,14,Wari & Jatrabari,51.73
2020-02-29,15,Bashundhara R/A (NSU),61.54
2020-03-01,1,Uttara,33.87
2020-03-01,2,Mirpur,44.22
2020-03-01,3,Gulshan & Banani,41.49
2020-03-01,4,Agargaon & Kafrul,29.52
2020-03-01,5,Farmgate & Karwan Bazar,50.82
2020-03-01,6,Diabari & Ashkona,18.11
2020-03-01,7,Uttarkhan & Faidabad,14.96
2020-03-01,8,Dakshinkhan & Dumni,17.91
2020-03-01,9,Vatara & Kuril,39.11
2020-03-01,10,Badda & Aftabnagar,35.32
2020-03-01,11,Ramna & Motijheel,58.13
2020-03-01,12,Khilgaon & Mugda,36.36
2020-03-01,13,Dhanmondi & Azimpur,49.98
2020-03-01,14,Wari & Jatrabari,51.23
2020-03-01,15,Bashundhara R/A (NSU),66.78
2020-03-02,1,Uttara,33.12
2020-03-02,2,Mirpur,46.06
2020-03-02,3,Gulshan & Banani,41.98
2020-03-02,4,Agargaon & Kafrul,25.28
2020-03-02,5,Farmgate & Karwan Bazar,56.31
2020-03-02,6,Diabari & Ashkona,17.81
2020-03-02,7,Uttarkhan & Faidabad,20.03
2020-03-02,8,Dakshinkhan & Dumni,19.01
2020-03-02,9,Vatara & Kuril,39.58
2020-03-02,10,Badda & Aftabnagar,36.85
2020-03-02,11,Ramna & Motijheel,57.83
2020-03-02,12,Khilgaon & Mugda,35.23
2020-03-02,13,Dhanmondi & Azimpur,46.3
2020-03-02,14,Wari & Jatrabari,55.34
2020-03-02,15,Bashundhara R/A (NSU),66.74
2020-03-03,1,Uttara,38.19
2020-03-03,2,Mirpur,36.46
2020-03-03,3,Gulshan & Banani,40.35
2020-03-03,4,Agargaon & Kafrul,30.01
2020-03-03,5,Farmgate & Karwan Bazar,46.71
2020-03-03,6,Diabari & Ashkona,23.99
2020-03-03,7,Uttarkhan & Faidabad,20.19
2020-03-03,8,Dakshinkhan & Dumni,15.32
2020-03-03,9,Vatara & Kuril,27.51
2020-03-03,10,Badda & Aftabnagar,29.02
2020-03-03,11,Ramna & Motijheel,51.48
2020-03-03,12,Khilgaon & Mugda,44.31
2020-03-03,13,Dhanmondi & Azimpur,47.88
2020-03-03,14,Wari & Jatrabari,51.32
2020-03-03,15,Bashundhara R/A (NSU),61.96
2020-03-04,1,Uttara,33.31
2020-03-04,2,Mirpur,43.8
2020-03-04,3,Gulshan & Banani,38.41
2020-03-04,4,Agargaon & Kafrul,34.36
2020-03-04,5,Farmgate & Karwan Bazar,42.28
2020-03-04,6,Diabari & Ashkona,20.22
2020-03-04,7,Uttarkhan & Faidabad,16.0
2020-03-04,8,Dakshinkhan & Dumni,20.29
2020-03-04,9,Vatara & Kuril,35.7
2020-03-04,10,Badda & Aftabnagar,28.35
2020-03-04,11,Ramna & Motijheel,52.64
2020-03-04,12,Khilgaon & Mugda,39.77
2020-03-04,13,Dhanmondi & Azimpur,40.38
2020-03-04,14,Wari & Jatrabari,52.04
2020-03-04,15,Bashundhara R/A (NSU),63.41
2020-03-05,1,Uttara,30.22
2020-03-05,2,Mirpur,40.2
2020-03-05,3,Gulshan & Banani,37.18
2020-03-05,4,Agargaon & Kafrul,28.12
2020-03-05,5,Farmgate & Karwan Bazar,48.18
2020-03-05,6,Diabari & Ashkona,20.52
2020-03-05,7,Uttarkhan & Faidabad,11.74
2020-03-05,8,Dakshinkhan & Dumni,12.88
2020-03-05,9,Vatara & Kuril,31.83
2020-03-05,10,Badda & Aftabnagar,32.16
2020-03-05,11,Ramna & Motijheel,48.35
2020-03-05,12,Khilgaon & Mugda,38.15
2020-03-05,13,Dhanmondi & Azimpur,44.99
2020-03-05,14,Wari & Jatrabari,48.46
2020-03-05,15,Bashundhara R/A (NSU),58.39
2020-03-06,1,Uttara,46.1
2020-03-06,2,Mirpur,45.92
2020-03-06,3,Gulshan & Banani,43.24
2020-03-06,4,Agargaon & Kafrul,36.91
2020-03-06,5,Farmgate & Karwan Bazar,56.25
2020-03-06,6,Diabari & Ashkona,20.01
2020-03-06,7,Uttarkhan & Faidabad,17.49
2020-03-06,8,Dakshinkhan & Dumni,18.72
2020-03-06,9,Vatara & Kuril,38.36
2020-03-06,10,Badda & Aftabnagar,38.76
2020-03-06,11,Ramna & Motijheel,52.07
2020-03-06,12,Khilgaon & Mugda,42.84
2020-03-06,13,Dhanmondi & Azimpur,54.23
2020-03-06,14,Wari & Jatrabari,59.25
2020-03-06,15,Bashundhara R/A (NSU),76.52
2020-03-07,1,Uttara,33.97
2020-03-07,2,Mirpur,41.51
2020-03-07,3,Gulshan & Banani,42.53
2020-03-07,4,Agargaon & Kafrul,28.74
2020-03-07,5,Farmgate & Karwan Bazar,51.14
2020-03-07,6,Diabari & Ashkona,15.67
2020-03-07,7,Uttarkhan & Faidabad,14.54
2020-03-07,8,Dakshinkhan & Dumni,16.47
2020-03-07,9,Vatara & Kuril,30.69
2020-03-07,10,Badda & Aftabnagar,29.97
2020-03-07,11,Ramna & Motijheel,46.08
2020-03-07,12,Khilgaon & Mugda,25.56
2020-03-07,13,Dhanmondi & Azimpur,41.26
2020-03-07,14,Wari & Jatrabari,38.38
2020-03-07,15,Bashundhara R/A (NSU),62.84
2020-03-08,1,Uttara,34.91
2020-03-08,2,Mirpur,50.76
2020-03-08,3,Gulshan & Banani,40.01
2020-03-08,4,Agargaon & Kafrul,30.47
2020-03-08,5,Farmgate & Karwan Bazar,53.23
2020-03-08,6,Diabari & Ashkona,17.25
2020-03-08,7,Uttarkhan & Faidabad,14.36
2020-03-08,8,Dakshinkhan & Dumni,15.48
2020-03-08,9,Vatara & Kuril,32.42
2020-03-08,10,Badda & Aftabnagar,33.31
2020-03-08,11,Ramna & Motijheel,51.76
2020-03-08,12,Khilgaon & Mugda,46.79
2020-03-08,13,Dhanmondi & Azimpur,50.61
2020-03-08,14,Wari & Jatrabari,42.02
2020-03-08,15,Bashundhara R/A (NSU),59.27
2020-03-09,1,Uttara,31.42
2020-03-09,2,Mirpur,47.69
2020-03-09,3,Gulshan & Banani,25.98
2020-03-09,4,Agargaon & Kafrul,26.79
2020-03-09,5,Farmgate & Karwan Bazar,50.08
2020-03-09,6,Diabari & Ashkona,19.29
2020-03-09,7,Uttarkhan & Faidabad,15.06
2020-03-09,8,Dakshinkhan & Dumni,16.51
2020-03-09,9,Vatara & Kuril,34.14
2020-03-09,10,Badda & Aftabnagar,30.0
2020-03-09,11,Ramna & Motijheel,55.0
2020-03-09,12,Khilgaon & Mugda,37.51
2020-03-09,13,Dhanmondi & Azimpur,43.89
2020-03-09,14,Wari & Jatrabari,58.02
2020-03-09,15,Bashundhara R/A (NSU),62.31
2020-03-10,1,Uttara,34.25
2020-03-10,2,Mirpur,41.93
2020-03-10,3,Gulshan & Banani,41.89
2020-03-10,4,Agargaon & Kafrul,30.89
2020-03-10,5,Farmgate & Karwan Bazar,60.26
2020-03-10,6,Diabari & Ashkona,16.81
2020-03-10,7,Uttarkhan & Faidabad,15.05
2020-03-10,8,Dakshinkhan & Dumni,22.48
2020-03-10,9,Vatara & Kuril,31.35
2020-03-10,10,Badda & Aftabnagar,24.86
2020-03-10,11,Ramna & Motijheel,53.66
2020-03-10,12,Khilgaon & Mugda,39.86
2020-03-10,13,Dhanmondi & Azimpur,48.52
2020-03-10,14,Wari & Jatrabari,35.41
2020-03-10,15,Bashundhara R/A (NSU),66.24
2020-03-11,1,Uttara,36.71
2020-03-11,2,Mirpur,47.28
2020-03-11,3,Gulshan & Banani,39.99
2020-03-11,4,Agargaon & Kafrul,20.27
2020-03-11,5,Farmgate & Karwan Bazar,51.53
2020-03-11,6,Diabari & Ashkona,19.53
2020-03-11,7,Uttarkhan & Faidabad,15.8
2020-03-11,8,Dakshinkhan & Dumni,15.75
2020-03-11,9,Vatara & Kuril,30.39
2020-03-11,10,Badda & Aftabnagar,30.93
2020-03-11,11,Ramna & Motijheel,51.43
2020-03-11,12,Khilgaon & Mugda,35.36
2020-03-11,13,Dhanmondi & Azimpur,44.9
2020-03-11,14,Wari & Jatrabari,48.4
2020-03-11,15,Bashundhara R/A (NSU),63.5
2020-03-12,1,Uttara,32.04
2020-03-12,2,Mirpur,50.69
2020-03-12,3,Gulshan & Banani,38.76
2020-03-12,4,Agargaon & Kafrul,29.87
2020-03-12,5,Farmgate & Karwan Bazar,48.04
2020-03-12,6,Diabari & Ashkona,15.2
2020-03-12,7,Uttarkhan & Faidabad,15.06
2020-03-12,8,Dakshinkhan & Dumni,23.86
2020-03-12,9,Vatara & Kuril,31.72
2020-03-12,10,Badda & Aftabnagar,32.41
2020-03-12,11,Ramna & Motijheel,57.85
2020-03-12,12,Khilgaon & Mugda,45.99
2020-03-12,13,Dhanmondi & Azimpur,45.92
2020-03-12,14,Wari & Jatrabari,55.28
2020-03-12,15,Bashundhara R/A (NSU),66.49
2020-03-13,1,Uttara,37.79
2020-03-13,2,Mirpur,49.05
2020-03-13,3,Gulshan & Banani,37.53
2020-03-13,4,Agargaon & Kafrul,25.15
2020-03-13,5,Farmgate & Karwan Bazar,41.64
2020-03-13,6,Diabari & Ashkona,16.84
2020-03-13,7,Uttarkhan & Faidabad,17.35
2020-03-13,8,Dakshinkhan & Dumni,19.05
2020-03-13,9,Vatara & Kuril,34.49
2020-03-13,10,Badda & Aftabnagar,31.58
2020-03-13,11,Ramna & Motijheel,53.65
2020-03-13,12,Khilgaon & Mugda,42.73
2020-03-13,13,Dhanmondi & Azimpur,36.24
2020-03-13,14,Wari & Jatrabari,48.86
2020-03-13,15,Bashundhara R/A (NSU),54.04
2020-03-14,1,Uttara,34.9
2020-03-14,2,Mirpur,45.81
2020-03-14,3,Gulshan & Banani,44.91
2020-03-14,4,Agargaon & Kafrul,35.53
2020-03-14,5,Farmgate & Karwan Bazar,49.79
2020-03-14,6,Diabari & Ashkona,21.6
2020-03-14,7,Uttarkhan & Faidabad,17.98
2020-03-14,8,Dakshinkhan & Dumni,18.45
2020-03-14,9,Vatara & Kuril,36.25
2020-03-14,10,Badda & Aftabnagar,28.96
2020-03-14,11,Ramna & Motijheel,57.95
2020-03-14,12,Khilgaon & Mugda,38.98
2020-03-14,13,Dhanmondi & Azimpur,46.08
2020-03-14,14,Wari & Jatrabari,47.87
2020-03-14,15,Bashundhara R/A (NSU),64.24
2020-03-15,1,Uttara,28.81
2020-03-15,2,Mirpur,32.19
2020-03-15,3,Gulshan & Banani,33.85
2020-03-15,4,Agargaon & Kafrul,27.04
2020-03-15,5,Farmgate & Karwan Bazar,35.77
2020-03-15,6,Diabari & Ashkona,17.8
2020-03-15,7,Uttarkhan & Faidabad,11.26
2020-03-15,8,Dakshinkhan & Dumni,15.83
2020-03-15,9,Vatara & Kuril,30.06
2020-03-15,10,Badda & Aftabnagar,19.62
2020-03-15,11,Ramna & Motijheel,30.62
2020-03-15,12,Khilgaon & Mugda,30.58
2020-03-15,13,Dhanmondi & Azimpur,30.69
2020-03-15,14,Wari & Jatrabari,37.23
2020-03-15,15,Bashundhara R/A (NSU),52.84
2020-03-16,1,Uttara,27.96
2020-03-16,2,Mirpur,38.53
2020-03-16,3,Gulshan & Banani,26.37
2020-03-16,4,Agargaon & Kafrul,26.15
2020-03-16,5,Farmgate & Karwan Bazar,43.22
2020-03-16,6,Diabari & Ashkona,15.44
2020-03-16,7,Uttarkhan & Faidabad,16.82
2020-03-16,8,Dakshinkhan & Dumni,21.08
2020-03-16,9,Vatara & Kuril,25.56
2020-03-16,10,Badda & Aftabnagar,24.38
2020-03-16,11,Ramna & Motijheel,19.14
2020-03-16,12,Khilgaon & Mugda,40.17
2020-03-16,13,Dhanmondi & Azimpur,30.47
2020-03-16,14,Wari & Jatrabari,34.89
2020-03-16,15,Bashundhara R/A (NSU),61.19
2020-03-17,1,Uttara,43.64
2020-03-17,2,Mirpur,45.88
2020-03-17,3,Gulshan & Banani,39.3
2020-03-17,4,Agargaon & Kafrul,35.84
2020-03-17,5,Farmgate & Karwan Bazar,50.29
2020-03-17,6,Diabari & Ashkona,17.69
2020-03-17,7,Uttarkhan & Faidabad,14.47
2020-03-17,8,Dakshinkhan & Dumni,15.76
2020-03-17,9,Vatara & Kuril,34.83
2020-03-17,10,Badda & Aftabnagar,35.65
2020-03-17,11,Ramna & Motijheel,52.63
2020-03-17,12,Khilgaon & Mugda,40.46
2020-03-17,13,Dhanmondi & Azimpur,50.63
2020-03-17,14,Wari & Jatrabari,46.59
2020-03-17,15,Bashundhara R/A (NSU),72.44
2020-03-18,1,Uttara,32.86
2020-03-18,2,Mirpur,42.92
2020-03-18,3,Gulshan & Banani,28.53
2020-03-18,4,Agargaon & Kafrul,23.6
2020-03-18,5,Farmgate & Karwan Bazar,35.39
2020-03-18,6,Diabari & Ashkona,15.38
2020-03-18,7,Uttarkhan & Faidabad,10.91
2020-03-18,8,Dakshinkhan & Dumni,13.35
2020-03-18,9,Vatara & Kuril,33.28
2020-03-18,10,Badda & Aftabnagar,33.12
2020-03-18,11,Ramna & Motijheel,37.03
2020-03-18,12,Khilgaon & Mugda,35.08
2020-03-18,13,Dhanmondi & Azimpur,36.73
2020-03-18,14,Wari & Jatrabari,36.92
2020-03-18,15,Bashundhara R/A (NSU),59.96
2020-03-19,1,Uttara,30.69
2020-03-19,2,Mirpur,43.57
2020-03-19,3,Gulshan & Banani,28.29
2020-03-19,4,Agargaon & Kafrul,34.29
2020-03-19,5,Farmgate & Karwan Bazar,44.87
2020-03-19,6,Diabari & Ashkona,17.82
2020-03-19,7,Uttarkhan & Faidabad,16.59
2020-03-19,8,Dakshinkhan & Dumni,15.0
2020-03-19,9,Vatara & Kuril,35.36
2020-03-19,10,Badda & Aftabnagar,34.2
2020-03-19,11,Ramna & Motijheel,45.86
2020-03-19,12,Khilgaon & Mugda,33.37
2020-03-19,13,Dhanmondi & Azimpur,34.95
2020-03-19,14,Wari & Jatrabari,48.78
2020-03-19,15,Bashundhara R/A (NSU),67.73
2020-03-20,1,Uttara,39.43
2020-03-20,2,Mirpur,48.09
2020-03-20,3,Gulshan & Banani,34.0
2020-03-20,4,Agargaon & Kafrul,33.27
2020-03-20,5,Farmgate & Karwan Bazar,50.61
2020-03-20,6,Diabari & Ashkona,21.52
2020-03-20,7,Uttarkhan & Faidabad,14.59
2020-03-20,8,Dakshinkhan & Dumni,18.03
2020-03-20,9,Vatara & Kuril,33.07
2020-03-20,10,Badda & Aftabnagar,29.11
2020-03-20,11,Ramna & Motijheel,48.53
2020-03-20,12,Khilgaon & Mugda,31.57
2020-03-20,13,Dhanmondi & Azimpur,40.44
2020-03-20,14,Wari & Jatrabari,53.43
2020-03-20,15,Bashundhara R/A (NSU),72.25
2020-03-21,1,Uttara,33.27
2020-03-21,2,Mirpur,42.18
2020-03-21,3,Gulshan & Banani,41.77
2020-03-21,4,Agargaon & Kafrul,30.02
2020-03-21,5,Farmgate & Karwan Bazar,56.7
2020-03-21,6,Diabari & Ashkona,22.77
2020-03-21,7,Uttarkhan & Faidabad,17.9
2020-03-21,8,Dakshinkhan & Dumni,14.12
2020-03-21,9,Vatara & Kuril,33.42
2020-03-21,10,Badda & Aftabnagar,28.82
2020-03-21,11,Ramna & Motijheel,60.37
2020-03-21,12,Khilgaon & Mugda,40.52
2020-03-21,13,Dhanmondi & Azimpur,37.4
2020-03-21,14,Wari & Jatrabari,46.22
2020-03-21,15,Bashundhara R/A (NSU),67.95
2020-03-22,1,Uttara,39.06
2020-03-22,2,Mirpur,51.49
2020-03-22,3,Gulshan & Banani,43.03
2020-03-22,4,Agargaon & Kafrul,35.48
2020-03-22,5,Farmgate & Karwan Bazar,54.26
2020-03-22,6,Diabari & Ashkona,19.63
2020-03-22,7,Uttarkhan & Faidabad,11.45
2020-03-22,8,Dakshinkhan & Dumni,18.88
2020-03-22,9,Vatara & Kuril,35.59
2020-03-22,10,Badda & Aftabnagar,35.29
2020-03-22,11,Ramna & Motijheel,54.99
2020-03-22,12,Khilgaon & Mugda,43.61
2020-03-22,13,Dhanmondi & Azimpur,50.65
2020-03-22,14,Wari & Jatrabari,40.39
2020-03-22,15,Bashundhara R/A (NSU),77.67
2020-03-23,1,Uttara,33.44
2020-03-23,2,Mirpur,48.87
2020-03-23,3,Gulshan & Banani,43.17
2020-03-23,4,Agargaon & Kafrul,29.3
2020-03-23,5,Farmgate & Karwan Bazar,56.29
2020-03-23,6,Diabari & Ashkona,19.05
2020-03-23,7,Uttarkhan & Faidabad,21.85
2020-03-23,8,Dakshinkhan & Dumni,24.03
2020-03-23,9,Vatara & Kuril,32.71
2020-03-23,10,Badda & Aftabnagar,37.54
2020-03-23,11,Ramna & Motijheel,56.58
2020-03-23,12,Khilgaon & Mugda,49.37
2020-03-23,13,Dhanmondi & Azimpur,43.43
2020-03-23,14,Wari & Jatrabari,47.8
2020-03-23,15,Bashundhara R/A (NSU),72.24
2020-03-24,1,Uttara,36.33
2020-03-24,2,Mirpur,58.15
